,Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Order Month,Order Year
1,OD2,Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749,0.18,149.8,Tamil Nadu,11,2017
2,OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360,0.21,165.2,Tamil Nadu,6,2017
3,OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896,0.25,89.6,Tamil Nadu,10,2016
4,OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355,0.26,918.45,Tamil Nadu,10,2016
5,OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305,0.26,322.7,Tamil Nadu,6,2015
6,OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826,0.33,346.92,Tamil Nadu,6,2015
7,OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847,0.32,147.76,Tamil Nadu,6,2015
8,OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791,0.23,181.93,Tamil Nadu,6,2015
9,OD10,Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795,0.27,484.65,Tamil Nadu,6,2015
10,OD11,Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903,0.13,437.69,Tamil Nadu,6,2015
11,OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701,0.1,308.44,Tamil Nadu,6,2015
12,OD13,Sharon,Snacks,Cookies,Dindigul,2018-04-15,South,1659,0.19,315.21,Tamil Nadu,4,2018
13,OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277,0.25,63.85,Tamil Nadu,12,2017
14,OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,2016-11-22,Central,831,0.22,207.75,Tamil Nadu,11,2016
15,OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,2016-11-22,Central,1440,0.11,100.8,Tamil Nadu,11,2016
16,OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,0.28,318.82,Tamil Nadu,11,2015
17,OD18,Arutra,Beverages,Health Drinks,Bodi,2015-05-13,West,1617,0.19,113.19,Tamil Nadu,5,2015
18,OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,2015-08-27,West,1757,0.35,386.54,Tamil Nadu,8,2015
19,OD20,Verma,Beverages,Soft Drinks,Kanyakumari,2015-08-27,West,692,0.29,159.16,Tamil Nadu,8,2015
20,OD21,Hafiz,Beverages,Health Drinks,Vellore,2015-08-27,West,522,0.19,208.8,Tamil Nadu,8,2015
21,OD22,Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948,0.13,47.4,Tamil Nadu,12,2017
22,OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707,0.34,148.47,Tamil Nadu,12,2017
23,OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,2018-07-16,East,969,0.29,77.52,Tamil Nadu,7,2018
24,OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,2016-09-25,West,1100,0.11,495.0,Tamil Nadu,9,2016
